"register_number","plant","co2","greenhouse","species","plant_no","drymaterial","starch","solublesugars_total","solublesugars_reducing","NSC"
20211810,"AACY1W","elevated","A","ACY","1W",75,1.96,3.58,"<0,10",5.54
20211811,"AACY2W","elevated","A","ACY","2W",50,3.6,5.61,"<0,10",9.21
20211812,"AACY3W","elevated","A","ACY","3W",66.7,1.96,3.01,"<0,10",4.97
20211813,"AACY4W","elevated","A","ACY","4W",50,1.76,1.28,"<0,10",3.04
20211814,"AACY2D","elevated","A","ACY","2D",66.7,4.05,4.58,"0.2",8.63
20211815,"BACY1W","elevated","B","ACY","1W",66.7,3.43,4.48,"<0,10",7.91
20211816,"BACY2W","elevated","B","ACY","2W",75,5.19,4.54,"0.35",9.73
20211817,"BACY3W","elevated","B","ACY","3W",75,4.47,7.14,"0.36",11.61
20211818,"BACY5W","elevated","B","ACY","5W",80,7.45,6.52,"0.37",13.97
20211819,"BACY6W","elevated","B","ACY","6W",80,4.5,7.6,"0.5",12.1
20211820,"CACY1W","elevated","C","ACY","1W",83.3,3.93,3.09,"0.44",7.02
20211821,"CACY2W","elevated","C","ACY","2W",50,3.49,2.29,"<0,10",5.78
20211822,"CACY4W","elevated","C","ACY","4W",66.7,8.44,4,"0.31",12.44
20211823,"CACY5W","elevated","C","ACY","5W",75,3.02,3.43,"0.13",6.45
20211824,"DACY1W","ambient","D","ACY","1W",75,12.25,4.54,"0.35",16.79
20211825,"DACY2W","ambient","D","ACY","2W",80,10.1,3.21,"<0,10",13.31
20211826,"DACY3W","ambient","D","ACY","3W",75,3.28,6.49,"0.17",9.77
20211827,"DACY4W","ambient","D","ACY","4W",60,3.86,4.45,"0.51",8.31
20211828,"DACY5W","ambient","D","ACY","5W",50,1.67,1.11,"<0,10",2.78
20211829,"EACY1W","ambient","E","ACY","1W",75,4.88,2.41,"0.16",7.29
20211830,"EACY2W","ambient","E","ACY","2W",50,2.1,2.12,"0.42",4.22
20211831,"EACY3W","ambient","E","ACY","3W",80,4.48,7.57,"0.22",12.05
20211832,"EACY5W","ambient","E","ACY","5W",66.7,4.56,3.1,"0.38",7.66
20211833,"FACY1W","ambient","F","ACY","1W",60,3.87,7.07,"0.32",10.94
20211834,"FACY2W","ambient","F","ACY","2W",66.7,4.1,4.22,"0.14",8.32
20211835,"FACY3W","ambient","F","ACY","3W",75,1.22,1.12,"0.1",2.34
20211836,"FACY4W","ambient","F","ACY","4W",60,1.31,1.61,"0.33",2.92
20211837,"FACY2D","ambient","F","ACY","2D",75,2.65,2.65,"<0,10",5.3
20211838,"ADPE1W","elevated","A","DPE","1W",87.5,2.1,7.21,"0.5",9.31
20211839,"ADPE2W","elevated","A","DPE","2W",87.5,3.31,3.94,"<0,10",7.25
20211840,"ADPE3W","elevated","A","DPE","3W",100,1.4,3.61,"0.29",5.01
20211841,"ADPE4W","elevated","A","DPE","4W",100,4.5,6.62,"0.36",11.12
20211842,"ADPE3D","elevated","A","DPE","3D",88.9,2.81,3.8,"0.32",6.61
20211843,"BDPE1W","elevated","B","DPE","1W",80,3.46,7.11,"0.42",10.57
20211844,"BDPE2W","elevated","B","DPE","2W",80,4.86,3.65,"0.3",8.51
20211845,"BDPE3W","elevated","B","DPE","3W",50,1.55,3.48,"0.22",5.03
20211846,"BDPE4W","elevated","B","DPE","4W",100,1.11,1.03,"0.15",2.14
20211847,"BDPE3D","elevated","B","DPE","3D",100,3.49,6.91,"0.89",10.4
20211848,"BDPE4D","elevated","B","DPE","4D",50,3.49,5.45,"0.41",8.94
20211849,"CDPE1W","elevated","C","DPE","1W",80,2.18,5.19,"0.51",7.37
20211850,"CDPE2W","elevated","C","DPE","2W",88.9,3.11,3.46,"0.51",6.57
20211851,"CDPE3W","elevated","C","DPE","3W",88.9,1.94,1.41,"0.19",3.35
20211852,"CDPE2D","elevated","C","DPE","2D",85.7,2.79,5.57,"0.39",8.36
20211853,"DDPE1W","ambient","D","DPE","1W",85.7,2.92,3.51,"0.32",6.43
20211854,"DDPE2W","ambient","D","DPE","2W",85.7,1.47,4.87,"<0,10",6.34
20211855,"DDPE3W","ambient","D","DPE","3W",85.7,5.83,1.73,"<0,10",7.56
20211856,"DDPE1D","ambient","D","DPE","1D",87.5,3.92,5.69,"0.35",9.61
20211857,"EDPE1W","ambient","E","DPE","1W",75,3.6,7.68,"1.62",11.28
20211858,"EDPE2W","ambient","E","DPE","2W",66.7,3.8,7.39,"0.55",11.19
20211859,"EDPE3W","ambient","E","DPE","3W",83.3,2.84,8.68,"0.75",11.52
20211860,"EDPE4W","ambient","E","DPE","4W",80,5.05,2.66,"0.11",7.71
20211861,"EDPE5W","ambient","E","DPE","5W",87.5,2.63,7.8,"0.73",10.43
20211862,"FDPE1W","ambient","F","DPE","1W",83.3,2.35,4.36,"0.31",6.71
20211863,"FDPE3W","ambient","F","DPE","3W",75,5.11,4.31,"0.49",9.42
20211864,"FDPE1D","ambient","F","DPE","1D",85.7,3.7,3.87,"0.48",7.57
20211865,"FDPE3D","ambient","F","DPE","3D",80,1.66,5.84,"0.45",7.5
