"greenhouse","species","plant_no","plant","co2","resprouter","drought_phase","water_potential_mpa","osmotic_potential_mpa","transpiration_mean_g_day","plant_height","vol_swc_cm3_per_cm3","ysoil_kpa","water_potential_midday_kpa","whole_plant_leaf_area_mm2","whole_plant_leaf_area_cm2","leaves_biomass","SLA","percentage_biomass_change_1_2","percentage_biomass_change_2_3","whole_plant_conductance","whole_plant_conductivity","leaf_specific_conductance","leaf_specific_conductivity","leaf_specific_transpiration","root_shoot_ratio","stems_biomass","total_aboveground_biomass","total_belowground_biomass"
"A","ACY","1W","AACY1W","elevated","R+","1",-1.34,-1.2256776,287.5,64,0.237967780936858,-18.3237599090508,-1340,362344.63290495,3623.4463290495,14.8803448275862,24.3505535055351,,,0.217526797621947,13.9217150478046,6.00331225767069e-05,0.00384211984490924,0.0793443517281011,,,,
"A","ACY","1W","AACY1W","elevated","R+","2",-1.99,-1.5928945,260,,0.140298289411434,-105.607234387684,-1990,675278.634050134,6752.78634050133,27.7315517241379,,86.3636363636364,,0.137975481940208,8.83043084417329,2.04323778338238e-05,0.00130767218136472,0.038502624974315,,,,
"A","ACY","1W","AACY1W","elevated","R+","3",-2.74,-2.7699341,77.1428571428571,,0.07,-1058.454742,-2740,477636.10701107,4776.3610701107,19.615,,,-29.2682926829268,0.045876170609056,2.93607491897959,9.60483722558956e-06,0.000614709582437732,0.016150968490552,0.301099939,69.299,88.914,26.772
"A","ACY","2D","AACY2D","elevated","R+","1",-1.87,-1.045717,201.25,70,0.253702151969408,-14.8196427714608,-1870,206745.365534774,2067.45365534774,11.484,18.002905393136,,,0.108480018784076,7.59360131488529,5.24703509089444e-05,0.00367292456362611,0.0973419643431622,,,,
"A","ACY","2D","AACY2D","elevated","R+","2",-1.94,-1.2597242,203,,0.146710626545679,-91.06514537513,-1940,277226.740148901,2772.26740148901,15.399,,34.0909090909091,,0.10979294348431,7.68550604390173,3.96040235604038e-05,0.00277228164922827,0.0732252595442152,,,,
"A","ACY","2D","AACY2D","elevated","R+","3",-4.21,-3.1225596,40,,0.07,-1058.454742,-4210,173854.057381514,1738.54057381514,9.657,,,-37.2881355932203,0.0126921864436065,0.888453051052456,7.3004833104091e-06,0.000511033831728637,0.0230078035580279,0.2753046,49.601,59.258,16.314
"A","ACY","2W","AACY2W","elevated","R+","1",-1.67,-1.434821,188.75,65,0.237644745762712,-18.4064594152519,-1670,,,,16.675388806902,,,0.114283566362928,7.42843181359031,,,,,,,
"A","ACY","2W","AACY2W","elevated","R+","2",-2.2,-1.9309286,111,,0.118153220338983,-186.644524648692,-2200,,,,,,,0.0551318440081386,3.58356986052901,,,,,,,
"A","ACY","2W","AACY2W","elevated","R+","3",-7.5,,8.57142857142857,,0.034,-11596.3065,-7500,94699.5330343966,946.995330343966,5.679,,,,0.001,0.05,1.05597141607528e-06,5.27985708037642e-05,0.00905118356635958,0.380287871,39.897,45.576,17.332
"A","ACY","3W","AACY3W","elevated","R+","1",-1.65,-1.118674,586.25,67,0.239254006682305,-17.9992323514144,-1650,339045.624638018,3390.45624638018,22.154,15.3040365007682,,,0.359221644757361,24.0678501987432,0.000105950827456005,0.00709870543955232,0.172911831741203,,,,
