"plant","species","plant_no","greenhouse","co2","sd_stomatal_density","mean_stomatal_density"
"AACY3W","ACY","3W","A","elevated",51.925873107016,288.8888889
"AACY4W","ACY","4W","A","elevated",15.6610181611421,218.8888889
"ACAL2W","CAL","2W","A","elevated",47.1404521026734,462.22222225
"ADPE1W","DPE","1W","A","elevated",74.2167607185709,799.166666675
"ADPE3W","DPE","3W","A","elevated",175.007054329811,948.05555545
"ALST1D","LST","1D","A","elevated",117.851130150617,400
"ALST2D","LST","2D","A","elevated",24.4276036171657,305.55555555
"ASRO2W","SRO","2W","A","elevated",60.2207871882119,402.77777775
"ASRO3W","SRO","3W","A","elevated",,666.6666667
"ASRO5W","SRO","5W","A","elevated",47.0038524158835,523.6111111
"BACY2W","ACY","2W","B","elevated",37.0685051482512,285
"BACY3W","ACY","3W","B","elevated",74.9320680191707,294.44444445
"BCAL3W","CAL","3W","B","elevated",76.4328156518464,448.888888866667
"BCAL4W","CAL","4W","B","elevated",57.5887220477643,462.7777778
"BDPE3D","DPE","3D","B","elevated",179.925682165579,935.0000001
"BDPE4W","DPE","4W","B","elevated",162.271681948233,909.444444425
"BSRO1W","SRO","1W","B","elevated",66.7823070806359,563.8888889
"BSRO2W","SRO","2W","B","elevated",,666.6666667
"CACY2W","ACY","2W","C","elevated",36.9406152105198,254.814814833333
"CACY4W","ACY","4W","C","elevated",90.7830589163749,370.55555555
"CCAL3W","CAL","3W","C","elevated",59.3066939973999,561.666666675
"CCAL4W","CAL","4W","C","elevated",86.8184805132266,567.407407366667
"CDPE1W","DPE","1W","C","elevated",92.8647851415753,769.259259266667
"CDPE2D","DPE","2D","C","elevated",379.455289652224,699.7222222
"CLST1W","LST","1W","C","elevated",,350
"DACY1W","ACY","1W","D","ambient",32.1262939542451,241.111111125
"DACY2W","ACY","2W","D","ambient",38.8306442334978,200
"DCAL2W","CAL","2W","D","ambient",78.8601930237089,411.111111125
"DCAL3W","CAL","3W","D","ambient",57.4742740650146,429.44444445
"DDPE1W","DPE","1W","D","ambient",393.598336230555,1004.72222235
"DDPE3W","DPE","3W","D","ambient",97.9727643155675,623.05555555
"DLST1W","LST","1W","D","ambient",58.6850069403462,434.7222222
"DLST2W","LST","2W","D","ambient",43.8619232641249,352.7777778
"DSRO1W","SRO","1W","D","ambient",11.785113043346,491.66666665
"DSRO3W","SRO","3W","D","ambient",,738.8888889
"EACY1W","ACY","1W","E","ambient",31.2694383846095,202.22222225
"EACY2W","ACY","2W","E","ambient",140.990032628642,320.740740733333
"EACY3W","ACY","3W","E","ambient",37.7123616397123,277.77777775
"ECAL1W","CAL","1W","E","ambient",72.5547898479249,488.88888885
"ECAL5W","CAL","5W","E","ambient",49.2745729464345,532.222222225
"EDPE1W","DPE","1W","E","ambient",54.3915086698154,658.148148166667
"EDPE2W","DPE","2W","E","ambient",140.073466900931,683.333333325
"ELST1W","LST","1W","E","ambient",111.11111115,350.000000025
"ESRO2W","SRO","2W","E","ambient",55.55555555,555.555555566667
"FACY1W","ACY","1W","F","ambient",11.1111111,187.77777775
"FACY2W","ACY","2W","F","ambient",24.1053927292991,183.33333335
"FCAL2W","CAL","2W","F","ambient",46.8075475017392,505.55555555
"FDPE3D","DPE","3D","F","ambient",88.4590300556641,453.611111075
"FDPE3W","DPE","3W","F","ambient",128.83579684875,795.277777775
