"plant","species","co2","greenhouse","plant_no","resprouter","SLA","total_aboveground_biomass","total_belowground_biomass","root_shoot_ratio","leaves_biomass","stems_biomass","total_aboveground_biomass_log","total_belowground_biomass_log","root_shoot_ratio_log","leaves_biomass_log","stems_biomass_log","percentage_biomass_change_1_2","percentage_biomass_change_2_3"
"AACY1W","ACY","elevated","A","1W","R+",24.3505535055351,88.914,26.772,0.301099939,19.615,69.299,4.4876696104361,3.2873565652384,-1.20031304608497,2.97629457966152,4.23843047607731,86.3636363636364,-29.2682926829268
"AACY2D","ACY","elevated","A","2D","R+",18.002905393136,59.258,16.314,0.2753046,9.657,49.601,4.08190079199776,2.79202363487839,-1.28987715792849,2.26768304098478,3.90401099481797,34.0909090909091,-37.2881355932203
"AACY2W","ACY","elevated","A","2W","R+",16.675388806902,45.576,17.332,0.380287871,5.679,39.897,3.81938126217809,2.85255450387766,-0.9668267577987,1.7367751608953,3.68630113309914,,
"AACY3W","ACY","elevated","A","3W","R+",15.3040365007682,123.766,48.096,0.388604302,37.312,86.454,4.81839268602048,3.87319901357056,-0.945193671590554,3.61931499072803,4.45961248057885,52.6315789473684,10.3448275862069
"AACY4W","ACY","elevated","A","4W","R+",18.0682978723404,136.705,44.403,0.324808895,7.416,129.289,4.91782531950577,3.79330703472316,-1.12451828498586,2.00363982826355,4.86205020868631,,
"ACAL1W","CAL","elevated","A","1W","R-",17.7551791530945,60.912,16.259,0.266926057,25.777,35.135,4.10943019964014,2.78864660161342,-1.32078359901178,3.2494826214611,3.55919778464416,50,-38.0952380952381
"ACAL2W","CAL","elevated","A","2W","R-",18.2711245445512,91.867,16.206,0.176407197,37.793,54.074,4.52034187891184,2.78538154403853,-1.73496033692199,3.63212390029146,3.9903534788341,50,-52.3809523809524
"ACAL3W","CAL","elevated","A","3W","R-",17.2043571995915,30.751,14.044,0.456700595,14.688,16.063,3.42592251404896,2.64219525830619,-0.783727255967421,2.68703083387813,2.77651849057563,78.9473684210526,-41.1764705882353
"ACAL4W","CAL","elevated","A","4W","R-",14.3712907696572,59.689,21.825,0.365645261,40.384,19.305,4.08914774881523,3.08305610172567,-1.0060916478305,3.69843366691875,2.9603641297162,66.6666666666667,-20
"ACAL5W","CAL","elevated","A","5W","R-",14.5078564593301,53.683,14.971,0.278877857,23.693,29.99,3.98309637783804,2.7061149964677,-1.27698138154861,3.16517964586434,3.40086399276092,28.5714285714286,-38.8888888888889
