"plant","species","plant_no","greenhouse","co2","resprouter","drought_phase","water_potential_mpa","water_potential_midday_log","osmotic_potential_mpa","osmotic_potential_log","transpiration_mean_g_day","transpiration_mean_log","whole_plant_conductance","whole_plant_conductance_log","whole_plant_conductivity","whole_plant_conductivity_log","leaf_specific_transpiration","leaf_specific_transpiration_log","leaf_specific_conductance","leaf_specific_conductance_log","leaf_specific_conductivity","leaf_specific_conductivity_log","whole_plant_leaf_area_cm2","whole_plant_leaf_area_log","leaves_biomass","leaves_biomass_log"
"AACY1W","ACY","1W","A","elevated","R+","1",-1.34,0.29266961396282,-1.2256776,0.203493833926714,287.5,5.6612228602374,0.217526797621947,-1.52543322858559,13.9217150478046,2.63344985477409,0.0793443517281011,-2.53395801629372,6.00331225767069e-05,-9.72061410511671,0.00384211984490924,-5.56173102175704,3623.4463290495,8.19518087653113,14.8803448275862,2.70004120303336
"AACY1W","ACY","1W","A","elevated","R+","2",-1.99,0.688134638736401,-1.5928945,0.465552801490597,260,5.56068163101553,0.137975481940208,-1.98067927670954,8.83043084417329,2.17820380665013,0.038502624974315,-3.25702885886159,2.04323778338238e-05,-10.7983897665867,0.00130767218136472,-6.63950668322699,6752.78634050133,8.81771048987711,27.7315517241379,3.32257081637935
"AACY1W","ACY","1W","A","elevated","R+","3",-2.74,1.00795792039998,-2.7699341,1.01882352930253,77.1428571428571,4.34565899050301,0.045876170609056,-3.08180945556935,2.93607491897959,1.07707362779033,0.016150968490552,-4.12577526265628,9.60483722558956e-06,-11.5532437087286,0.000614709582437732,-7.39436062536896,4776.3610701107,8.47143425315928,19.615,2.97629457966152
"AACY2D","ACY","2D","A","elevated","R+","1",-1.87,0.625938430866495,-1.045717,0.0447027745429536,201.25,5.30454791629867,0.108480018784076,-2.22118928163302,7.59360131488529,2.02730596041633,0.0973419643431622,-2.32952509455482,5.24703509089444e-05,-9.85526229248652,0.00367292456362611,-5.60676705043716,2067.45365534774,7.6340730108535,11.484,2.44095476225882
"AACY2D","ACY","2D","A","elevated","R+","2",-1.94,0.662687973075237,-1.2597242,0.230892808114828,203,5.31320597904179,0.10979294348431,-2.20915901896363,7.68550604390173,2.03933622308573,0.0732252595442152,-2.61421484179917,3.96040235604038e-05,-10.1365798398046,0.00277228164922827,-5.88808459775522,2772.26740148901,7.92742082084095,15.399,2.73430257224628
"AACY2D","ACY","2D","A","elevated","R+","3",-4.21,1.43746264769429,-3.1225596,1.13865305010525,40,3.68887945411394,0.0126921864436065,-4.3667687155167,0.888453051052456,-0.118273473467335,0.0230078035580279,-3.77192183546552,7.3004833104091e-06,-11.8275700050962,0.000511033831728637,-7.57907476304679,1738.54057381514,7.46080128957946,9.657,2.26768304098478
"AACY2W","ACY","2W","A","elevated","R+","1",-1.67,0.512823626428664,-1.434821,0.36104010275511,188.75,5.24042338812913,0.114283566362928,-2.16907249487052,7.42843181359031,2.00531477502512,,,,,,,,,,
"AACY2W","ACY","2W","A","elevated","R+","2",-2.2,0.78845736036427,-1.9309286,0.658001027102481,111,4.70953020131233,0.0551318440081386,-2.89802779857899,3.58356986052901,1.27635947131665,,,,,,,,,,
"AACY2W","ACY","2W","A","elevated","R+","3",-7.5,2.01490302054226,,,8.57142857142857,2.14843441316679,0.001,-6.90775527898214,0.05,-2.99573227355399,0.00905118356635958,-4.70485974900815,1.05597141607528e-06,-13.7610494411571,5.27985708037642e-05,-9.84902643572893,946.995330343966,6.85329416217494,5.679,1.7367751608953
"AACY3W","ACY","3W","A","elevated","R+","1",-1.65,0.500775287912489,-1.118674,0.112144055338486,586.25,6.37374631976049,0.359221644757361,-1.02381568613636,24.0678501987432,3.18087693325461,0.172911831741203,-1.75497345751098,0.000105950827456005,-9.15253546340784,0.00709870543955232,-4.94784284401687,3390.45624638018,8.12871977727147,22.154,3.09801806709474
"AACY3W","ACY","3W","A","elevated","R+","2",-2.08,0.732367893713227,-1.4153658,0.347388013586783,435,6.07534603108868,0.216298894174713,-1.53109405849707,14.4920259097058,2.6735985608939,0.0840594832345292,-2.47623059700283,4.17976396977621e-05,-10.0826706865886,0.00280044185975006,-5.87797806719761,5174.90690236976,8.55157662809151,33.814,3.52087491791477
"AACY3W","ACY","3W","A","elevated","R+","3",-1.97,0.678033542749897,-1.7290809,0.547589995658586,245.714285714286,5.50416942075219,0.135368701067285,-1.99975310425572,9.06970297150809,2.20493951513525,0.043030449751009,-3.14584728015258,2.3706298037178e-05,-10.6497698051605,0.00158832196849093,-6.44507718576951,5710.24209916663,8.65001670090476,37.312,3.61931499072803
"AACY4W","ACY","4W","A","elevated","R+","1",-2.04,0.712949807856125,-1.3910468,0.330056557235143,238.75,5.47541697936084,0.118024872196924,-2.13685989539787,11.8024872196924,2.46831029059022,,,,,,,,,,
"AACY4W","ACY","4W","A","elevated","R+","2",-2.41,0.879626747502564,-1.8214931,0.599656549372565,202,5.3082676974012,0.0879715808798235,-2.43074146120921,8.79715808798235,2.17442872477888,,,,,,,,,,
"AACY4W","ACY","4W","A","elevated","R+","3",-7.5,2.01490302054226,,,45.7142857142857,3.82241084673846,0.00665074353019138,-5.01302662151321,0.665074353019138,-0.407856435525114,0.0341165396568688,-3.37797297835783,4.9634452742752e-06,-12.2134104466095,0.00049634452742752,-7.6082402606214,1339.94497021277,7.20038382509629,7.416,2.00363982826355
"ACAL1W","CAL","1W","A","elevated","R-","1",-1.06,0.0582689081239758,-1.1308335,0.122954971442702,180,5.19295685089021,0.172619602057469,-1.75666493750281,9.3214585111033,2.23231910906146,0.0365199682605848,-3.30989609235255,3.50225688238529e-05,-10.2595178807456,0.00189121871648806,-6.2705338341813,4928.81041723879,8.50285294324276,27.7598461538462,3.32359059361482
"ACAL1W","CAL","1W","A","elevated","R-","2",-1.62,0.482426149244293,-1.4883228,0.397649848367671,203.076923076923,5.31358483867882,0.134545640714649,-2.00585180133335,7.26546459859105,1.98313224523093,0.0274680103156535,-3.5947332126721,1.81985278833297e-05,-10.9141698526843,0.000982720505699805,-6.92518580612,7393.21562585818,8.90831805135092,41.6397692307692,3.72905570172299
"ACAL1W","CAL","1W","A","elevated","R-","3",-6.98,1.94304891677428,-5.2480402,1.65785471167343,31.25,3.44201937618241,0.00675579901086758,-4.99735403020268,0.364813146586849,-1.00836998363841,0.00682798551880591,-4.98672559490663,1.47611193005335e-06,-13.4260990012917,7.97100442228808e-05,-9.43711495472745,4576.75253029316,8.42874497108904,25.777,3.2494826214611
"ACAL2W","CAL","2W","A","elevated","R-","1",-1.59,0.46373401623214,-1.2037905,0.185475328424036,233.333333333333,5.45246804637529,0.148401509173767,-1.90783377866602,14.0981433715078,2.64604311293452,0.0241363783027205,-3.72403510345303,1.53508927119114e-05,-11.0843369284944,0.00145833480763159,-6.5304600368938,9667.28853877111,9.17650314982832,52.9102,3.96859613691268
