register_number,co2,greenhouse,species,plant_no,drymaterial,starch,solublesugars_total,solublesugars_reducing
20211810,elevated,A,ACY,1W,75,1.96,3.58,"<0,10"
20211811,elevated,A,ACY,2W,50,3.6,5.61,"<0,10"
20211812,elevated,A,ACY,3W,66.7,1.96,3.01,"<0,10"
20211813,elevated,A,ACY,4W,50,1.76,1.28,"<0,10"
20211814,elevated,A,ACY,2D,66.7,4.05,4.58,0.2
20211815,elevated,B,ACY,1W,66.7,3.43,4.48,"<0,10"
20211816,elevated,B,ACY,2W,75,5.19,4.54,0.35
20211817,elevated,B,ACY,3W,75,4.47,7.14,0.36
20211818,elevated,B,ACY,5W,80,7.45,6.52,0.37
20211819,elevated,B,ACY,6W,80,4.5,7.6,0.5
20211820,elevated,C,ACY,1W,83.3,3.93,3.09,0.44
20211821,elevated,C,ACY,2W,50,3.49,2.29,"<0,10"
20211822,elevated,C,ACY,4W,66.7,8.44,4,0.31
20211823,elevated,C,ACY,5W,75,3.02,3.43,0.13
20211824,ambient,D,ACY,1W,75,12.25,4.54,0.35
20211825,ambient,D,ACY,2W,80,10.1,3.21,"<0,10"
20211826,ambient,D,ACY,3W,75,3.28,6.49,0.17
20211827,ambient,D,ACY,4W,60,3.86,4.45,0.51
20211828,ambient,D,ACY,5W,50,1.67,1.11,"<0,10"
20211829,ambient,E,ACY,1W,75,4.88,2.41,0.16
20211830,ambient,E,ACY,2W,50,2.1,2.12,0.42
20211831,ambient,E,ACY,3W,80,4.48,7.57,0.22
20211832,ambient,E,ACY,5W,66.7,4.56,3.1,0.38
20211833,ambient,F,ACY,1W,60,3.87,7.07,0.32
20211834,ambient,F,ACY,2W,66.7,4.1,4.22,0.14
20211835,ambient,F,ACY,3W,75,1.22,1.12,0.1
20211836,ambient,F,ACY,4W,60,1.31,1.61,0.33
20211837,ambient,F,ACY,2D,75,2.65,2.65,"<0,10"
20211838,elevated,A,DPE,1W,87.5,2.1,7.21,0.5
20211839,elevated,A,DPE,2W,87.5,3.31,3.94,"<0,10"
20211840,elevated,A,DPE,3W,100,1.4,3.61,0.29
20211841,elevated,A,DPE,4W,100,4.5,6.62,0.36
20211842,elevated,A,DPE,3D,88.9,2.81,3.8,0.32
20211843,elevated,B,DPE,1W,80,3.46,7.11,0.42
20211844,elevated,B,DPE,2W,80,4.86,3.65,0.3
20211845,elevated,B,DPE,3W,50,1.55,3.48,0.22
20211846,elevated,B,DPE,4W,100,1.11,1.03,0.15
20211847,elevated,B,DPE,3D,100,3.49,6.91,0.89
20211848,elevated,B,DPE,4D,50,3.49,5.45,0.41
20211849,elevated,C,DPE,1W,80,2.18,5.19,0.51
20211850,elevated,C,DPE,2W,88.9,3.11,3.46,0.51
20211851,elevated,C,DPE,3W,88.9,1.94,1.41,0.19
20211852,elevated,C,DPE,2D,85.7,2.79,5.57,0.39
20211853,ambient,D,DPE,1W,85.7,2.92,3.51,0.32
20211854,ambient,D,DPE,2W,85.7,1.47,4.87,"<0,10"
20211855,ambient,D,DPE,3W,85.7,5.83,1.73,"<0,10"
20211856,ambient,D,DPE,1D,87.5,3.92,5.69,0.35
20211857,ambient,E,DPE,1W,75,3.6,7.68,1.62
20211858,ambient,E,DPE,2W,66.7,3.8,7.39,0.55
20211859,ambient,E,DPE,3W,83.3,2.84,8.68,0.75
20211860,ambient,E,DPE,4W,80,5.05,2.66,0.11
20211861,ambient,E,DPE,5W,87.5,2.63,7.8,0.73
20211862,ambient,F,DPE,1W,83.3,2.35,4.36,0.31
20211863,ambient,F,DPE,3W,75,5.11,4.31,0.49
20211864,ambient,F,DPE,1D,85.7,3.7,3.87,0.48
20211865,ambient,F,DPE,3D,80,1.66,5.84,0.45
