greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,water_potential_bar,water_potential_mpa,osmotic_potential_mmol.kg-1,osmotic_potential_mpa,obs
A,ACY,1W,AACY1W,14/02/2020,1,19,23,elevated,R+,13.4,-1.34,504,-1.2256776,
A,ACY,2W,AACY2W,14/02/2020,1,19,23,elevated,R+,16.7,-1.67,590,-1.434821,
A,ACY,3W,AACY3W,14/02/2020,1,19,23,elevated,R+,16.5,-1.65,460,-1.118674,
A,ACY,4W,AACY4W,14/02/2020,1,19,23,elevated,R+,20.4,-2.04,572,-1.3910468,
A,ACY,2D,AACY2D,14/02/2020,1,19,23,elevated,R+,18.7,-1.87,430,-1.045717,
A,CAL,1W,ACAL1W,13/02/2020,1,18,22,elevated,R-,10.6,-1.06,465,-1.1308335,
A,CAL,2W,ACAL2W,13/02/2020,1,18,22,elevated,R-,15.9,-1.59,495,-1.2037905,
A,CAL,3W,ACAL3W,13/02/2020,1,18,22,elevated,R-,13.7,-1.37,576,-1.4007744,
A,CAL,4W,ACAL4W,13/02/2020,1,18,22,elevated,R-,15.9,-1.59,465,-1.1308335,
A,CAL,5W,ACAL5W,13/02/2020,1,18,22,elevated,R-,17.7,-1.77,549,-1.3351131,
A,ROF,1W,AROF1W,12/02/2020,1,17,21,elevated,R-,11.8,-1.18,486,-1.1819034,
A,ROF,2W,AROF2W,12/02/2020,1,17,21,elevated,R-,8.6,-0.86,431,-1.0481489,
A,ROF,3W,AROF3W,12/02/2020,1,17,21,elevated,R-,10.8,-1.08,481,-1.1697439,
A,ROF,4W,AROF4W,12/02/2020,1,17,21,elevated,R-,9.1,-0.91,459,-1.1162421,
A,ROF,5W,AROF5W,12/02/2020,1,17,21,elevated,R-,10.8,-1.08,408,-0.9922152,
A,LST,2W,ALST2W,11/02/2020,1,16,20,elevated,R-,17.2,-1.72,462,-1.1235378,
A,LST,3W,ALST3W,11/02/2020,1,16,20,elevated,R-,13.6,-1.36,451,-1.0967869,
A,LST,1D,ALST1D,11/02/2020,1,16,20,elevated,R-,12.3,-1.23,440,-1.070036,
A,LST,2D,ALST2D,11/02/2020,1,16,20,elevated,R-,15.8,-1.58,381,-0.9265539,
A,DPE,1W,ADPE1W,10/02/2020,1,15,19,elevated,R+,20.9,-2.09,669,-1.6269411,
A,DPE,2W,ADPE2W,10/02/2020,1,15,19,elevated,R+,19.5,-1.95,,,
A,DPE,3W,ADPE3W,10/02/2020,1,15,19,elevated,R+,19,-1.9,514,-1.2499966,
A,DPE,4W,ADPE4W,10/02/2020,1,15,19,elevated,R+,18.5,-1.85,532,-1.2937708,
A,DPE,3D,ADPE3D,10/02/2020,1,15,19,elevated,R+,21.7,-2.17,600,-1.45914,
B,ACY,1W,BACY1W,14/02/2020,1,19,23,elevated,R+,13.3,-1.33,445,-1.0821955,
B,ACY,2W,BACY2W,14/02/2020,1,19,23,elevated,R+,17.3,-1.73,472,-1.1478568,
B,ACY,3W,BACY3W,14/02/2020,1,19,23,elevated,R+,18.2,-1.82,497,-1.2086543,
B,ACY,5W,BACY5W,14/02/2020,1,19,23,elevated,R+,18.6,-1.86,519,-1.2621561,
B,ACY,6W,BACY6W,14/02/2020,1,19,23,elevated,R+,19.7,-1.97,637,-1.5491203,
B,CAL,1W,BCAL1W,13/02/2020,1,18,22,elevated,R-,14.1,-1.41,500,-1.21595,
B,CAL,3W,BCAL3W,13/02/2020,1,18,22,elevated,R-,14.7,-1.47,553,-1.3448407,
B,CAL,4W,BCAL4W,13/02/2020,1,18,22,elevated,R-,15,-1.5,525,-1.2767475,
B,CAL,5W,BCAL5W,13/02/2020,1,18,22,elevated,R-,13,-1.3,667,-1.6220773,
B,CAL,6W,BCAL6W,13/02/2020,1,18,22,elevated,R-,14.3,-1.43,518,-1.2597242,
B,ROF,1W,BROF1W,12/02/2020,1,17,21,elevated,R-,11.3,-1.13,490,-1.191631,
B,ROF,2W,BROF2W,12/02/2020,1,17,21,elevated,R-,10.1,-1.01,440,-1.070036,
B,ROF,3W,BROF3W,12/02/2020,1,17,21,elevated,R-,10.8,-1.08,433,-1.0530127,
B,LST,1W,BLST1W,11/02/2020,1,16,20,elevated,R-,16,-1.6,517,-1.2572923,
B,LST,2W,BLST2W,11/02/2020,1,16,20,elevated,R-,13.7,-1.37,604,-1.4688676,
B,LST,4W,BLST4W,11/02/2020,1,16,20,elevated,R-,14.8,-1.48,547,-1.3302493,
B,LST,1D,BLST1D,11/02/2020,1,16,20,elevated,R-,17.1,-1.71,577,-1.4032063,
B,DPE,1W,BDPE1W,10/02/2020,1,15,19,elevated,R+,18.2,-1.82,520,-1.264588,
B,DPE,2W,BDPE2W,10/02/2020,1,15,19,elevated,R+,13.7,-1.37,519,-1.2621561,
B,DPE,3W,BDPE3W,10/02/2020,1,15,19,elevated,R+,16.2,-1.62,479,-1.1648801,
B,DPE,4W,BDPE4W,10/02/2020,1,15,19,elevated,R+,20.1,-2.01,532,-1.2937708,
B,DPE,3D,BDPE3D,10/02/2020,1,15,19,elevated,R+,19,-1.9,648,-1.5758712,
B,DPE,4D,BDPE4D,10/02/2020,1,15,19,elevated,R+,17.3,-1.73,468,-1.1381292,
C,ACY,1W,CACY1W,14/02/2020,1,19,23,elevated,R+,20.4,-2.04,483,-1.1746077,
C,ACY,2W,CACY2W,14/02/2020,1,19,23,elevated,R+,16.7,-1.67,581,-1.4129339,
C,ACY,4W,CACY4W,14/02/2020,1,19,23,elevated,R+,17.4,-1.74,507,-1.2329733,
C,ACY,5W,CACY5W,14/02/2020,1,19,23,elevated,R+,18.5,-1.85,549,-1.3351131,
C,CAL,1W,CCAL1W,13/02/2020,1,18,22,elevated,R-,15.5,-1.55,545,-1.3253855,
C,CAL,2W,CCAL2W,13/02/2020,1,18,22,elevated,R-,17.3,-1.73,550,-1.337545,
C,CAL,3W,CCAL3W,13/02/2020,1,18,22,elevated,R-,12.8,-1.28,551,-1.3399769,
C,CAL,4W,CCAL4W,13/02/2020,1,18,22,elevated,R-,16.5,-1.65,573,-1.3934787,
C,CAL,5W,CCAL5W,13/02/2020,1,18,22,elevated,R-,16.4,-1.64,551,-1.3399769,
C,ROF,1W,CROF1W,12/02/2020,1,17,21,elevated,R-,8.8,-0.88,426,-1.0359894,
C,ROF,2W,CROF2W,12/02/2020,1,17,21,elevated,R-,9.8,-0.98,458,-1.1138102,
C,ROF,3W,CROF3W,12/02/2020,1,17,21,elevated,R-,10,-1,441,-1.0724679,
C,ROF,4W,CROF4W,12/02/2020,1,17,21,elevated,R-,10,-1,515,-1.2524285,
C,ROF,3D,CROF3D,12/02/2020,1,17,21,elevated,R-,11.4,-1.14,458,-1.1138102,
C,ROF,5D,CROF5D,12/02/2020,1,17,21,elevated,R-,11.2,-1.12,527,-1.2816113,
C,LST,1W,CLST1W,11/02/2020,1,16,20,elevated,R-,16.4,-1.64,450,-1.094355,
C,LST,3W,CLST3W,11/02/2020,1,16,20,elevated,R-,16.4,-1.64,512,-1.2451328,
C,LST,4W,CLST4W,11/02/2020,1,16,20,elevated,R-,14.5,-1.45,416,-1.0116704,
C,LST,1D,CLST1D,11/02/2020,1,16,20,elevated,R-,15.4,-1.54,615,-1.4956185,
C,DPE,1W,CDPE1W,10/02/2020,1,15,19,elevated,R+,18.2,-1.82,461,-1.1211059,
C,DPE,2W,CDPE2W,10/02/2020,1,15,19,elevated,R+,12.4,-1.24,434,-1.0554446,
C,DPE,3W,CDPE3W,10/02/2020,1,15,19,elevated,R+,10.7,-1.07,482,-1.1721758,
C,DPE,2D,CDPE2D,10/02/2020,1,15,19,elevated,R+,17.7,-1.77,548,-1.3326812,
D,ACY,1W,DACY1W,14/02/2020,1,19,23,ambient,R+,17.4,-1.74,583,-1.4177977,
D,ACY,2W,DACY2W,14/02/2020,1,19,23,ambient,R+,16.7,-1.67,559,-1.3594321,
D,ACY,3W,DACY3W,14/02/2020,1,19,23,ambient,R+,16.5,-1.65,426,-1.0359894,
D,ACY,4W,DACY4W,14/02/2020,1,19,23,ambient,R+,16.5,-1.65,565,-1.3740235,
D,ACY,5W,DACY5W,14/02/2020,1,19,23,ambient,R+,12.3,-1.23,436,-1.0603084,
D,CAL,2W,DCAL2W,13/02/2020,1,18,22,ambient,R-,14.6,-1.46,449,-1.0919231,
D,CAL,3W,DCAL3W,13/02/2020,1,18,22,ambient,R-,13.4,-1.34,469,-1.1405611,
D,CAL,4W,DCAL4W,13/02/2020,1,18,22,ambient,R-,14.5,-1.45,487,-1.1843353,
D,CAL,5W,DCAL5W,13/02/2020,1,18,22,ambient,R-,10.8,-1.08,552,-1.3424088,
D,CAL,3D,DCAL3D,13/02/2020,1,18,22,ambient,R-,10.2,-1.02,558,-1.3570002,
D,ROF,1W,DROF1W,12/02/2020,1,17,21,ambient,R-,10.6,-1.06,412,-1.0019428,
D,ROF,2W,DROF2W,12/02/2020,1,17,21,ambient,R-,9.5,-0.95,415,-1.0092385,
D,ROF,3W,DROF3W,12/02/2020,1,17,21,ambient,R-,10.4,-1.04,386,-0.9387134,
D,ROF,4W,DROF4W,12/02/2020,1,17,21,ambient,R-,10.5,-1.05,373,-0.9070987,
D,ROF,2D,DROF2D,12/02/2020,1,17,21,ambient,R-,11.4,-1.14,411,-0.9995109,
D,LST,1W,DLST1W,11/02/2020,1,16,20,ambient,R-,15.3,-1.53,451,-1.0967869,
D,LST,2W,DLST2W,11/02/2020,1,16,20,ambient,R-,13.2,-1.32,398,-0.9678962,
D,LST,3D,DLST3D,11/02/2020,1,16,20,ambient,R-,16,-1.6,415,-1.0092385,
D,LST,4D,DLST4D,11/02/2020,1,16,20,ambient,R-,13.7,-1.37,483,-1.1746077,
D,LST,2D,DLST2D,11/02/2020,1,16,20,ambient,R-,16,-1.6,414,-1.0068066,(e)
D,DPE,1W,DDPE1W,10/02/2020,1,15,19,ambient,R+,19.5,-1.95,679,-1.6512601,
D,DPE,2W,DDPE2W,10/02/2020,1,15,19,ambient,R+,15.8,-1.58,648,-1.5758712,
