SWC %,drought_phase,co2,greenhouse,species,plant_no,Count,Total_Area_dec,Average Size,%Area,Major,Minor,Angle
60,1,elevated,A,ACY,1W,12,1187.83,98.985,13.27,13.671,7.297,83.56
60,1,elevated,A,ACY,2W,39,2937.87,75.33,12.955,10.933,6.858,103.071
60,1,elevated,A,ACY,3W,38,3375.99,88.842,14.179,13.435,7.024,86.808
60,1,elevated,A,ACY,4W,24,2038.1,84.921,15.077,12.823,6.795,79.132
60,1,elevated,A,ACY,2D,21,1041,49.571,9.713,11.762,4.834,92.663
60,1,elevated,B,ACY,1W,12,735.35,61.279,5.237,10.707,6.328,102.556
60,1,elevated,B,ACY,2W,15,1215.83,81.055,12.08,12.433,6.846,105.247
60,1,elevated,B,ACY,3W,16,2553.3,159.581,13.047,17.532,10.861,104.595
60,1,elevated,B,ACY,5W,20,1037.17,51.858,8.754,10.332,4.89,90.775
60,1,elevated,B,ACY,6W,20,1625.55,81.277,11.519,13.369,5.95,80.472
60,1,elevated,C,ACY,1W,29,1607.31,55.424,4.845,10.77,6.077,83.999
60,1,elevated,C,ACY,2W,15,923,61.533,10.112,12.211,5.625,85.433
60,1,elevated,C,ACY,3W,16,940.84,58.802,7.604,9.855,6.256,82.606
60,1,elevated,C,ACY,4W,15,637.4,42.493,5.375,8.667,4.972,95.089
60,1,elevated,C,ACY,5W,18,959.72,53.318,11.728,11.617,5.448,127.861
60,1,ambient,D,ACY,1W,22,2118.48,96.295,10.515,13.085,6.477,63.643
60,1,ambient,D,ACY,2W,16,2477.34,154.834,16.293,15.309,10.464,92.86
60,1,ambient,D,ACY,3W,24,2202.65,91.777,14.488,13.667,6.51,82.893
60,1,ambient,D,ACY,4W,16,1156.79,72.299,11.367,13.147,6.237,66.784
60,1,ambient,D,ACY,5W,9,875.65,97.294,10.58,14.428,8.278,120.669
60,1,ambient,E,ACY,1W,12,1854.78,154.565,16.162,17.093,9.955,67.527
60,1,ambient,E,ACY,2W,21,1632.61,77.743,11.636,13.306,5.859,74.429
60,1,ambient,E,ACY,3W,15,1612.18,107.478,13.812,15.808,6.603,84.352
60,1,ambient,E,ACY,5W,15,1329.48,88.632,14.361,13.084,6.969,75.035
60,1,ambient,E,ACY,2D,11,1048.33,95.303,13.592,13.297,7.488,88.467
60,1,ambient,F,ACY,1W,22,3839.31,174.514,11.597,19.246,10.21,67.354
60,1,ambient,F,ACY,2W,9,801.25,89.028,8.205,14.533,7.004,83.47
60,1,ambient,F,ACY,3W,10,1083.4,108.34,11.26,16.016,8.272,119.605
60,1,ambient,F,ACY,4W,7,654.9,93.557,11.669,14.991,7.52,62.723
60,1,ambient,F,ACY,2D,12,942.61,78.551,9.412,11.69,6.692,79.501
60,1,elevated,A,CAL,1W,14,5723.39,408.813,24.185,35.447,14.121,80.079
60,1,elevated,A,CAL,2W,14,4412.85,315.203,24.013,32.058,11.302,52.908
60,1,elevated,A,CAL,3W,12,4548.66,379.055,25.958,36.687,12.78,63.051
60,1,elevated,A,CAL,4W,16,7777.02,486.064,22.392,37.396,16.319,115.115
60,1,elevated,A,CAL,5W,12,6064.28,505.357,28.067,41.798,14.424,64.15
60,1,elevated,B,CAL,1W,16,8009.83,500.614,21.545,36.848,15.67,93.403
60,1,elevated,B,CAL,2W,14,10444.4,746.028,25.976,48.051,19.233,54.614
60,1,elevated,B,CAL,3W,12,6236.54,519.712,21.997,41.52,15.506,91.519
60,1,elevated,B,CAL,4W,12,9017.28,751.44,21.814,51.328,18.14,50.53
60,1,elevated,B,CAL,5W,14,6641.82,474.416,21.307,38.99,14.618,90.467
60,1,elevated,B,CAL,6W,10,5469.64,546.964,22.284,43.915,15.531,62.06
60,1,elevated,C,CAL,1W,13,5910.75,454.673,29.314,37.897,14.626,96.334
60,1,elevated,C,CAL,2W,16,6894.02,430.876,17.302,40.267,13.118,74.267
60,1,elevated,C,CAL,3W,13,8379.78,644.598,36.587,46.957,16.903,82.916
60,1,elevated,C,CAL,4W,14,4813.11,343.793,26.382,38.326,10.712,91.794
60,1,elevated,C,CAL,5W,12,6317.17,526.431,30.041,42.816,15.248,61.381
60,1,ambient,D,CAL,1W,12,4794.29,399.525,23.514,34.856,14.061,65.239
60,1,ambient,D,CAL,2W,18,7735.81,429.767,17.161,31.487,13.569,54.329
60,1,ambient,D,CAL,3W,12,6164.35,513.696,17.832,38.125,14.892,39.898
60,1,ambient,D,CAL,4W,14,7650.95,546.497,26.911,40.552,15.793,40.142
60,1,ambient,D,CAL,5W,9,4937.23,548.581,23.724,38.164,16.538,77.557
60,1,ambient,D,CAL,3D,11,5885.73,535.066,17.905,38.239,15.313,81.638
60,1,ambient,E,CAL,1W,12,5687.06,473.922,29.732,39.539,14.393,119.342
60,1,ambient,E,CAL,2W,13,6211.94,477.842,17.998,36.059,14.095,40.137
60,1,ambient,E,CAL,3W,14,5731.07,409.362,17.854,33.685,15.269,68.024
60,1,ambient,E,CAL,4W,16,8394.61,524.663,30.248,39.6,15.558,81.563
60,1,ambient,E,CAL,5W,13,7490.87,576.221,19.283,41.655,16.424,91.169
60,1,ambient,F,CAL,1W,12,5100.11,425.01,26.919,34.011,14.492,115.696
60,1,ambient,F,CAL,2W,8,4158.12,519.765,28.513,38.855,16.559,25.688
60,1,ambient,F,CAL,3W,8,4315.72,539.465,26.835,39.821,16.901,9.221
60,1,ambient,F,CAL,4W,11,4851.58,441.053,24.044,34.159,14.815,80.216
60,1,ambient,F,CAL,1D,20,10034.18,501.709,27.036,42.319,14.49,110.608
60,1,elevated,A,DPE,1W,10,112.93,11.293,10.175,8.001,1.793,102.145
60,1,elevated,A,DPE,2W,10,125.99,12.599,6.087,9.007,1.784,126.273
60,1,elevated,A,DPE,3W,10,59.352,5.935,8.135,5.087,1.477,106.12
60,1,elevated,A,DPE,4W,10,73.55,7.355,8.542,5.813,1.595,72.011
60,1,elevated,A,DPE,3D,10,32.897,3.29,7.07,3.976,1.055,75.361
60,1,elevated,B,DPE,1W,10,94.111,9.411,7.304,6.805,1.755,100.956
60,1,elevated,B,DPE,2W,10,44.653,4.465,3.278,4.149,1.362,62.952
60,1,elevated,B,DPE,3W,10,70.782,7.078,5.307,6.199,1.451,92.294
60,1,elevated,B,DPE,4W,10,89.919,8.992,4.681,6.767,1.689,56.55
60,1,elevated,B,DPE,3D,10,97.427,9.743,7.093,6.234,1.983,104.198
60,1,elevated,B,DPE,4D,10,77.773,7.777,8.498,6.236,1.575,84.987
60,1,elevated,C,DPE,1W,10,101.635,10.163,1.996,6.303,2.049,124.011
60,1,elevated,C,DPE,2W,10,38.107,3.811,7.523,4.312,1.121,77.399
60,1,elevated,C,DPE,3W,10,59.615,5.961,5.425,5.3,1.413,94.3
60,1,elevated,C,DPE,2D,10,73.653,7.365,4.71,6.112,1.518,119.8
60,1,ambient,D,DPE,1W,10,69.31,6.931,9.346,4.971,1.704,104.467
60,1,ambient,D,DPE,2W,10,91.899,9.19,4.93,6.209,1.849,86.828
60,1,ambient,D,DPE,3W,10,103.814,10.381,11.942,7.166,1.835,115.698
60,1,ambient,D,DPE,1D,10,103.011,10.301,15.315,7.238,1.804,73.773
60,1,ambient,D,DPE,3D,10,71.41,7.141,9.78,5.77,1.567,104.486
60,1,ambient,E,DPE,1W,10,84.653,8.465,5.677,6.038,1.774,104.645
60,1,ambient,E,DPE,2W,10,141.126,14.113,11.483,6.811,2.632,135.543
60,1,ambient,E,DPE,3W,10,88.082,8.808,10.166,5.904,1.877,90.544
60,1,ambient,E,DPE,4W,10,73.224,7.322,5.919,5.934,1.568,87.468
60,1,ambient,E,DPE,5W,10,61.985,6.198,3.857,5.134,1.53,79.004
60,1,ambient,F,DPE,1W,9,75.403,8.378,9.144,7.023,1.512,130.733
60,1,ambient,F,DPE,2W,10,74.218,7.422,3.457,5.695,1.649,98.296
60,1,ambient,F,DPE,3W,10,148.396,14.84,11.358,8.967,2.103,119.473
60,1,ambient,F,DPE,1D,10,79.849,7.985,3.831,5.903,1.695,71.052
60,1,ambient,F,DPE,3D,10,95.598,9.56,10.017,5.909,2.044,87.945
60,1,elevated,A,LST,2W,10,358.729,35.873,10.724,17.433,2.603,74.234
60,1,elevated,A,LST,3W,10,417.675,41.768,13.191,17.458,3.056,58.081
60,1,elevated,A,LST,4W,10,278.275,27.828,6.881,16.493,2.122,105.763
60,1,elevated,A,LST,1D,9,574.264,63.807,9.35,22.018,3.746,97.172
60,1,elevated,A,LST,2D,10,436.033,43.603,8.344,17.74,3.036,106.557
60,1,elevated,B,LST,1W,10,448.155,44.815,8.588,18.945,2.992,72.258
60,1,elevated,B,LST,2W,10,245.927,24.593,8.923,14.561,2.145,108.959
60,1,elevated,B,LST,4W,10,452.808,45.281,10.662,18.582,3.04,45.264
60,1,elevated,B,LST,1D,10,557.807,55.781,8.293,21.548,3.308,42.309
60,1,elevated,C,LST,1W,10,514.053,51.405,11.773,23.042,2.843,58.112
60,1,elevated,C,LST,2W,10,480.416,48.042,7.727,17.569,3.5,46.708
60,1,elevated,C,LST,3W,10,487.272,48.727,9.129,21.492,2.896,78.371
60,1,elevated,C,LST,4W,10,911.947,91.195,11.093,31.081,3.725,70.158
60,1,elevated,C,LST,1D,10,501.088,50.109,5.835,20.839,3.045,82.844
60,1,ambient,D,LST,1W,10,813.056,81.306,9.859,27.374,3.77,24.295
60,1,ambient,D,LST,2W,10,829.974,82.997,11.218,28.411,3.707,40.611
60,1,ambient,D,LST,2D,10,468.994,46.899,6.201,17.193,3.392,93.828
60,1,ambient,D,LST,3D,10,449.316,44.932,9.15,21.581,2.688,43.043
60,1,ambient,D,LST,4D,10,488.171,48.817,6.644,21.565,2.887,88.538
60,1,ambient,E,LST,1W,10,984.407,98.441,9.705,29.407,4.333,74.982
60,1,ambient,E,LST,2W,11,428.23,38.93,8.04,17.5,2.841,84.421
60,1,ambient,E,LST,3W,10,536.491,53.649,11.175,21.018,3.228,60.686
60,1,ambient,E,LST,4W,10,430.569,43.057,8.228,20.312,2.716,43.9
60,1,ambient,E,LST,1D,10,449.658,44.966,6.04,21.001,2.726,123.199
60,1,ambient,F,LST,1D,10,688.259,68.826,9.208,25.825,3.398,56.122
60,1,ambient,F,LST,2D,10,347.347,34.735,6.167,18.864,2.341,78.449
60,1,ambient,F,LST,2DG,10,414.852,41.485,7.984,20.981,2.475,108.242
60,1,ambient,F,LST,4D,10,712.32,71.232,9.706,23.99,3.746,40.003
60,1,ambient,F,LST,5D,10,691.878,69.188,9.751,24.96,3.556,29.114
60,1,elevated,A,ROF,1W,10,519.453,51.945,9.279,28.514,2.321,25.695
60,1,elevated,A,ROF,2W,10,831.557,83.156,10.951,35.026,3.054,109.225
60,1,elevated,A,ROF,3W,10,776.722,77.672,11.365,32.729,3.055,8.609
60,1,elevated,A,ROF,4W,10,688.307,68.831,6.571,28.477,3.086,76.384
60,1,elevated,A,ROF,5W,9,699.021,77.669,9.894,31.601,3.047,62.297
60,1,elevated,B,ROF,1W,10,886.629,88.663,11.393,37.108,3.051,91.214
60,1,elevated,B,ROF,2W,10,703.928,70.393,9.502,29.274,3.078,105.33
60,1,elevated,B,ROF,3W,10,835.152,83.515,12.101,35.299,3.025,87.505
60,1,elevated,B,ROF,1D,10,775.084,77.508,8.869,31.037,3.121,74.371
60,1,elevated,C,ROF,1W,10,812.213,81.221,9.568,38.854,2.652,108.065
60,1,elevated,C,ROF,2W,10,555.723,55.572,9.756,28.094,2.519,40.503
60,1,elevated,C,ROF,3W,10,743.881,74.388,9.381,34.965,2.725,90.45
60,1,elevated,C,ROF,4W,10,1036.43,103.643,15.167,39.689,3.322,123.889
60,1,elevated,C,ROF,3D,10,794.444,79.444,9.315,33.149,2.999,40.24
60,1,elevated,C,ROF,5D,10,613.827,61.383,8.005,28.982,2.662,109.828
60,1,ambient,D,ROF,1W,10,881.817,88.182,13.388,32.931,3.329,57.382
60,1,ambient,D,ROF,2W,10,670.458,67.046,7.78,32.427,2.638,91.449
60,1,ambient,D,ROF,3W,10,644.624,64.462,9.019,28.242,2.89,104.11
60,1,ambient,D,ROF,4W,10,725.038,72.504,8.574,34.236,2.709,55.967
60,1,ambient,D,ROF,2D,10,767.854,76.785,9.494,32.384,2.992,121.264
60,1,ambient,E,ROF,1W,10,993.951,99.395,11.565,35.668,3.568,75.027
60,1,ambient,E,ROF,2W,10,975.323,97.532,11.5,32.998,3.755,74.213
60,1,ambient,E,ROF,3W,10,537.755,53.776,6.762,29.878,2.351,77.056
60,1,ambient,E,ROF,4W,10,788.375,78.837,8.99,32.773,2.891,90.319
60,1,ambient,E,ROF,5W,10,702.799,70.28,7.859,28.471,3.245,90.7
60,1,ambient,F,ROF,1W,10,937.829,93.783,8.162,37.931,3.144,154.932
60,1,ambient,F,ROF,2W,10,636.217,63.622,9.584,30.551,2.667,72.575
60,1,ambient,F,ROF,3W,10,823.635,82.363,13.566,35.629,2.966,23.713
60,1,ambient,F,ROF,4W,10,834.619,83.462,10.74,37.539,2.842,71.052
60,1,ambient,F,ROF,5W,10,1017.76,101.776,8.691,36.122,3.475,70.491
