greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,plant_height,large_leaves_count,small_leaves_count,total_leaves_count_marked,flowers_count
A,ACY,1W,AACY1W,14/02/2020,1,19,23,elevated,R+,64,9,13,22,
A,ACY,2W,AACY2W,14/02/2020,1,19,23,elevated,R+,65,9,13,22,
A,ACY,3W,AACY3W,14/02/2020,1,19,23,elevated,R+,67,6,13,19,
A,ACY,4W,AACY4W,14/02/2020,1,19,23,elevated,R+,100,62,6,68,
A,ACY,2D,AACY2D,14/02/2020,1,19,23,elevated,R+,70,35,9,44,
A,CAL,1W,ACAL1W,13/02/2020,1,18,22,elevated,R-,54,14,0,14,
A,CAL,2W,ACAL2W,13/02/2020,1,18,22,elevated,R-,95,7,7,14,
A,CAL,3W,ACAL3W,13/02/2020,1,18,22,elevated,R-,45,13,6,19,
A,CAL,4W,ACAL4W,13/02/2020,1,18,22,elevated,R-,57,12,0,12,
A,CAL,5W,ACAL5W,13/02/2020,1,18,22,elevated,R-,93,14,0,14,
A,ROF,1W,AROF1W,12/2/20,1,17,21,elevated,R-,58,22,39,61,
A,ROF,2W,AROF2W,12/2/20,1,17,21,elevated,R-,52,20,22,42,
A,ROF,3W,AROF3W,12/2/20,1,17,21,elevated,R-,62,43,42,85,
A,ROF,4W,AROF4W,12/2/20,1,17,21,elevated,R-,49,14,7,21,
A,ROF,5W,AROF5W,12/2/20,1,17,21,elevated,R-,63,17,23,40,
A,LST,2W,ALST2W,11/2/20,1,16,20,elevated,R-,37,26,12,38,
A,LST,3W,ALST3W,11/2/20,1,16,20,elevated,R-,35,16,13,29,
A,LST,1D,ALST1D,11/2/20,1,16,20,elevated,R-,42,24,14,38,
A,LST,2D,ALST2D,11/2/20,1,16,20,elevated,R-,33,31,10,41,
A,DPE,1W,ADPE1W,10/2/20,1,15,19,elevated,R+,48,41,0,41,
A,DPE,2W,ADPE2W,10/2/20,1,15,19,elevated,R+,34,86,0,86,
A,DPE,3W,ADPE3W,10/2/20,1,15,19,elevated,R+,33,89,0,89,
A,DPE,4W,ADPE4W,10/2/20,1,15,19,elevated,R+,45,107,0,107,
