greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,number_scanned_leaves_area,number_scanned_leaves_DW,stem_dry_weight,scanned_leaves_dry_weight,marked_stem_dry_weight,marked_leaves_dry_weight
A,ACY,1W,AACY1W,14/02/2020,1,19,23,elevated,R+,12,12,0.04717,0.04878,,
A,ACY,2W,AACY2W,14/02/2020,1,19,23,elevated,R+,39,39,0.16637,0.17618,,
A,ACY,3W,AACY3W,14/02/2020,1,19,23,elevated,R+,37,37,0.14254,0.21479,,
A,ACY,4W,AACY4W,14/02/2020,1,19,23,elevated,R+,24,24,0.09359,0.1128,,
A,ACY,2D,AACY2D,14/02/2020,1,19,23,elevated,R+,20,20,0.08152,0.05507,,
A,CAL,1W,ACAL1W,13/02/2020,1,18,22,elevated,R-,14,14,0.07945,0.32235,,
A,CAL,2W,ACAL2W,13/02/2020,1,18,22,elevated,R-,14,14,0.05365,0.24152,,
A,CAL,3W,ACAL3W,13/02/2020,1,18,22,elevated,R-,12,12,0.04318,0.26439,,
A,CAL,4W,ACAL4W,13/02/2020,1,18,22,elevated,R-,16,16,0.11938,0.54115,,
A,CAL,5W,ACAL5W,13/02/2020,1,18,22,elevated,R-,12,12,0.06939,0.418,,
A,ROF,1W,AROF1W,12/2/20,1,17,21,elevated,R-,10,10,0.02657,0.05374,,
A,ROF,2W,AROF2W,12/2/20,1,17,21,elevated,R-,10,10,0.07507,0.09281,,
A,ROF,3W,AROF3W,12/2/20,1,17,21,elevated,R-,10,10,0.06757,0.07746,,
A,ROF,4W,AROF4W,12/2/20,1,17,21,elevated,R-,10,10,0.04764,0.06372,,
A,ROF,5W,AROF5W,12/2/20,1,17,21,elevated,R-,10,10,0.03183,0.06555,,
A,LST,2W,ALST2W,11/2/20,1,16,20,elevated,R-,10,10,0.05476,0.01897,,
A,LST,3W,ALST3W,11/2/20,1,16,20,elevated,R-,10,10,0.02964,0.01887,,
A,LST,1D,ALST1D,11/2/20,1,16,20,elevated,R-,10,10,0.03132,0.03009,,
A,LST,2D,ALST2D,11/2/20,1,16,20,elevated,R-,10,10,0.05642,0.01662,,
A,DPE,1W,ADPE1W,10/2/20,1,15,19,elevated,R+,10,10,0.09039,0.00713,,
A,DPE,2W,ADPE2W,10/2/20,1,15,19,elevated,R+,10,10,0.03999,0.00494,,
A,DPE,3W,ADPE3W,10/2/20,1,15,19,elevated,R+,10,10,0.19206,0.00275,,
A,DPE,4W,ADPE4W,10/2/20,1,15,19,elevated,R+,10,10,0.54416,0.00424,,
A,DPE,3D,ADPE3D,10/2/20,1,15,19,elevated,R+,10,5,0.20839,0.00085,,
B,ACY,1W,BACY1W,14/02/2020,1,19,23,elevated,R+,12,12,0.05819,0.03306,,
B,ACY,2W,BACY2W,14/02/2020,1,19,23,elevated,R+,15,15,0.06816,0.04997,,
B,ACY,3W,BACY3W,14/02/2020,1,19,23,elevated,R+,16,16,0.09611,0.15765,,
B,ACY,5W,BACY5W,14/02/2020,1,19,23,elevated,R+,20,20,0.02693,0.0477,,
B,ACY,6W,BACY6W,14/02/2020,1,19,23,elevated,R+,19,19,0.0836,0.09194,,
B,CAL,1W,BCAL1W,13/02/2020,1,18,22,elevated,R-,16,16,0.07335,0.28018,,
