co2,greenhouse,species,plant_no,date,start_pot_weight_kg,water.added.l,result_pot_weight_kg,
elevated,A,ACY,1W,23/01/2020,7.4,1,8.4,
elevated,A,ACY,2W,23/01/2020,9.4,0,9.4,
elevated,A,ACY,3W,23/01/2020,6.6,1,7.6,
elevated,A,ACY,4W,23/01/2020,8.1,0.9,9,
elevated,A,ACY,2D,23/01/2020,7.4,1,8.4,
elevated,A,CAL,1W,23/01/2020,7.5,1,8.5,
elevated,A,CAL,2W,23/01/2020,8.3,0.7,9,
elevated,A,CAL,3W,23/01/2020,9.5,0,9.5,
elevated,A,CAL,4W,23/01/2020,8.7,0.3,9,
elevated,A,CAL,5W,23/01/2020,8.6,0.4,9,
elevated,A,ROF,1W,23/01/2020,7.3,1,8.9,
elevated,A,ROF,2W,23/01/2020,8.3,0.7,9,
elevated,A,ROF,3W,23/01/2020,9.5,0,9.5,
elevated,A,ROF,4W,23/01/2020,8.6,0.4,9,
elevated,A,ROF,5W,23/01/2020,8.1,0.9,9,
elevated,A,LST,2W,23/01/2020,9,0,9,
elevated,A,LST,3W,23/01/2020,9.1,0,9.1,
elevated,A,LST,4W,23/01/2020,9.6,0,9.6,
elevated,A,LST,1D,23/01/2020,7.7,1,8.7,
elevated,A,LST,2D,23/01/2020,8.4,0.6,9,
elevated,A,DPE,1W,23/01/2020,9.6,0,9.6,
elevated,A,DPE,2W,23/01/2020,9.1,0,9.1,
elevated,A,DPE,3W,23/01/2020,9.4,0,9.4,
elevated,A,DPE,4W,23/01/2020,9.6,0,9.6,
elevated,A,DPE,3D,23/01/2020,7.4,1,8.4,
elevated,A,ACY,1W,24/01/2020,8.1,0.9,9,
elevated,A,ACY,2W,24/01/2020,9.3,0,9.3,
elevated,A,ACY,3W,24/01/2020,7.2,1,8.2,
elevated,A,ACY,4W,24/01/2020,8.7,0.3,9,
elevated,A,ACY,2D,24/01/2020,8.1,0.9,9,
elevated,A,CAL,1W,24/01/2020,8.2,0.8,9,
elevated,A,CAL,2W,24/01/2020,8.8,0.2,9,
elevated,A,CAL,3W,24/01/2020,9.5,0,9.5,
elevated,A,CAL,4W,24/01/2020,8.9,0.1,9,
elevated,A,CAL,5W,24/01/2020,8.9,0.1,9,
elevated,A,ROF,1W,24/01/2020,8.3,0.7,9,
elevated,A,ROF,2W,24/01/2020,8.8,0.2,9,
elevated,A,ROF,3W,24/01/2020,9.4,0,9.4,
elevated,A,ROF,4W,24/01/2020,8.9,0.1,9,
elevated,A,ROF,5W,24/01/2020,8.8,0.2,9,
elevated,A,LST,2W,24/01/2020,9,0,9,
elevated,A,LST,3W,24/01/2020,9.1,0,9.1,
elevated,A,LST,4W,24/01/2020,9.6,0,9.6,
elevated,A,LST,1D,24/01/2020,7.7,1,8.7,
elevated,A,LST,2D,24/01/2020,8.4,0.6,9,
elevated,A,DPE,1W,24/01/2020,9.5,0,9.5,
elevated,A,DPE,2W,24/01/2020,9.1,0,9.1,
elevated,A,DPE,3W,24/01/2020,9.4,0,9.4,
elevated,A,DPE,4W,24/01/2020,9.5,0,9.5,
elevated,A,DPE,3D,24/01/2020,8.8,0.2,9,
elevated,A,ACY,1W,27/01/2020,7.9,1,8.9,
elevated,A,ACY,2W,27/01/2020,8.8,0.2,9,
elevated,A,ACY,3W,27/01/2020,7.3,1,8.3,
elevated,A,ACY,4W,27/01/2020,8.4,0.6,9,
elevated,A,ACY,2D,27/01/2020,8.2,0.8,9,
elevated,A,CAL,1W,27/01/2020,8.3,0.7,9,
elevated,A,CAL,2W,27/01/2020,8.6,0.4,9,
elevated,A,CAL,3W,27/01/2020,9.3,0,9.3,
elevated,A,CAL,4W,27/01/2020,8.6,0.4,9,
elevated,A,CAL,5W,27/01/2020,8.8,0.2,9,
elevated,A,ROF,1W,27/01/2020,8.2,0.8,9,
elevated,A,ROF,2W,27/01/2020,8.7,0.3,9,
elevated,A,ROF,3W,27/01/2020,9.1,0,9.1,
elevated,A,ROF,4W,27/01/2020,8.8,0.2,9,
elevated,A,ROF,5W,27/01/2020,8.3,0.7,9,
elevated,A,LST,2W,27/01/2020,9,0,9,
elevated,A,LST,3W,27/01/2020,9,0,9,
