Replicate,kPa,humidity_volumetric_measured,humidity_volumetric_predicted
1,0.0,0.7213,0.7213
1,-1.0,0.5682,0.5722
1,-6.9,0.3922,0.3195
1,-10.3,0.2387,0.2831
1,-13.8,0.2271,0.2592
1,-20.7,0.2133,0.2294
1,-31.0,0.1979,0.2031
1,-69.0,0.1714,0.1595
1,-103.0,0.1614,0.1414
2,0.0,0.7427,0.7427
2,-1.0,0.5455,0.5482
2,-6.9,0.3985,0.3287
2,-10.3,0.2599,0.2957
2,-13.8,0.2384,0.2736
2,-20.7,0.2208,0.2458
2,-31.0,0.2105,0.2209
2,-69.0,0.1934,0.1787
2,-103.0,0.1887,0.1607
3,0.0,0.7397,0.7397
3,-1.0,0.5082,0.5123
3,-6.9,0.3837,0.3114
3,-10.3,0.2387,0.2808
3,-13.8,0.2295,0.2605
3,-20.7,0.2175,0.2346
3,-31.0,0.2033,0.2114
3,-69.0,0.1838,0.1720
3,-103.0,0.1755,0.1551
,,,
,,,
,,,
