co2,greenhouse,species,plant_no,leaf_sample,magnification,diameter of field (micrometer),True radius of field of view (μm),Area of field of view (square mm),No. Stomata Area 1,No. Stomata Area 2,No. Stomata Area 3,Average number of stomata in one field of view,StoD_stomata_mm2
elevated,A,ACY,4W,1,40,4.3,2.15,0.045,10,7,12,9.7,215.5555556
elevated,A,ACY,4W,2,40,4.3,2.15,0.045,11,12,9,10.7,237.7777778
elevated,A,ACY,4W,3,40,4.3,2.15,0.045,9,10,8,9,200
elevated,A,ACY,4W,4,40,4.3,2.15,0.045,7,12,11,10,222.2222222
elevated,A,ACY,3W,1,40,4.3,2.15,0.045,14,15,11,13.3,295.5555556
elevated,A,ACY,3W,2,40,4.3,2.15,0.045,9,10,11,10,222.2222222
elevated,A,ACY,3W,3,40,4.3,2.15,0.045,15,14,18,15.7,348.8888889
elevated,A,ACY,3W,4,40,4.3,2.15,0.045,15,11,13,13,288.8888889
elevated,C,ACY,2W,1,40,4.3,2.15,0.045,9,11,19,13,288.8888889
elevated,C,ACY,2W,2,40,4.3,2.15,0.045,10,13,12,11.7,260
elevated,C,ACY,2W,4,40,4.3,2.15,0.045,9,11,9,9.7,215.5555556
ambient,E,ACY,3W,1,40,4.3,2.15,0.045,12,11,11,11.3,251.1111111
ambient,E,ACY,3W,2,40,4.3,2.15,0.045,14,15,12,13.7,304.4444444
elevated,B,ACY,3W,4,40,4.3,2.15,0.045,10,15,10,11.7,260
elevated,B,ACY,3W,2,40,4.3,2.15,0.045,13,9,12,11.3,251.1111111
elevated,B,ACY,3W,3,40,4.3,2.15,0.045,14,11,10,11.7,260
elevated,B,ACY,3W,1,40,4.3,2.15,0.045,19,19,17,18.3,406.6666667
ambient,F,ACY,2W,1,40,4.3,2.15,0.045,8,6,7,7,155.5555556
ambient,F,ACY,2W,2,40,4.3,2.15,0.045,8,7,8,7.7,171.1111111
ambient,F,ACY,2W,3,40,4.3,2.15,0.045,12,8,8,9.3,206.6666667
ambient,F,ACY,2W,4,40,4.3,2.15,0.045,10,9,8,9,200
ambient,F,ACY,1W,1,40,4.3,2.15,0.045,9,8,9,8.7,193.3333333
ambient,F,ACY,1W,2,40,4.3,2.15,0.045,9,9,8,8.7,193.3333333
ambient,F,ACY,1W,3,40,4.3,2.15,0.045,8,7,8,7.7,171.1111111
ambient,F,ACY,1W,4,40,4.3,2.15,0.045,8,9,9,8.7,193.3333333
ambient,E,ACY,1W,1,40,4.3,2.15,0.045,10,11,8,9.7,215.5555556
ambient,E,ACY,1W,2,40,4.3,2.15,0.045,7,6,8,7,155.5555556
ambient,E,ACY,1W,3,40,4.3,2.15,0.045,11,9,10,10,222.2222222
ambient,E,ACY,1W,4,40,4.3,2.15,0.045,9,11,9,9.7,215.5555556
elevated,B,ACY,2W,1,40,4.3,2.15,0.045,13,12,10,11.7,260
elevated,B,ACY,2W,2,40,4.3,2.15,0.045,12,12,12,12,266.6666667
elevated,B,ACY,2W,3,40,4.3,2.15,0.045,14,12,11,12.3,273.3333333
elevated,B,ACY,2W,4,40,4.3,2.15,0.045,15,16,15,15.3,340
ambient,E,ACY,2W,1,40,4.3,2.15,0.045,20,22,19,20.3,451.1111111
ambient,E,ACY,2W,2,40,4.3,2.15,0.045,8,8,7,7.7,171.1111111
ambient,E,ACY,2W,3,40,4.3,2.15,0.045,15,12,19,15.3,340
ambient,D,ACY,2W,1,40,4.3,2.15,0.045,7,9,6,7.3,162.2222222
ambient,D,ACY,2W,2,40,4.3,2.15,0.045,12,10,9,10.3,228.8888889
ambient,D,ACY,2W,3,40,4.3,2.15,0.045,9,11,12,10.7,237.7777778
ambient,D,ACY,2W,4,40,4.3,2.15,0.045,7,7,9,7.7,171.1111111
ambient,D,ACY,1W,1,40,4.3,2.15,0.045,13,9,12,11.3,251.1111111
ambient,D,ACY,1W,2,40,4.3,2.15,0.045,8,11,10,9.7,215.5555556
ambient,D,ACY,1W,3,40,4.3,2.15,0.045,11,8,10,9.7,215.5555556
ambient,D,ACY,1W,4,40,4.3,2.15,0.045,13,13,12,12.7,282.2222222
elevated,C,ACY,4W,1,40,4.3,2.15,0.045,20,19,14,17.7,393.3333333
elevated,C,ACY,4W,2,40,4.3,2.15,0.045,15,11,13,13,288.8888889
elevated,C,ACY,4W,3,40,4.3,2.15,0.045,14,14,14,14,311.1111111
elevated,C,ACY,4W,4,40,4.3,2.15,0.045,16,26,24,22,488.8888889
elevated,A,CAL,2W,1,40,4.3,2.15,0.045,16,20,22,19.3,428.8888889
elevated,A,CAL,2W,4,40,4.3,2.15,0.045,19,27,21,22.3,495.5555556
elevated,B,CAL,3W,1,40,4.3,2.15,0.045,21,25,26,24,533.3333333
elevated,B,CAL,3W,2,40,4.3,2.15,0.045,19,14,25,19.3,428.8888889
elevated,B,CAL,3W,3,40,4.3,2.15,0.045,15,19,18,17.3,384.4444444
elevated,B,CAL,4W,1,40,4.3,2.15,0.045,21,19,17,19,422.2222222
elevated,B,CAL,4W,2,40,4.3,2.15,0.045,23,24,20,22.3,495.5555556
elevated,B,CAL,4W,3,40,4.3,2.15,0.045,21,22,28,23.7,526.6666667
elevated,B,CAL,4W,4,40,4.3,2.15,0.045,23,15,17,18.3,406.6666667
elevated,C,CAL,3W,1,40,4.3,2.15,0.045,36,21,21,26,577.7777778
elevated,C,CAL,3W,2,40,4.3,2.15,0.045,25,36,25,28.7,637.7777778
elevated,C,CAL,3W,3,40,4.3,2.15,0.045,20,24,27,23.7,526.6666667
elevated,C,CAL,3W,4,40,4.3,2.15,0.045,21,25,22,22.7,504.4444444
elevated,C,CAL,4W,1,40,4.3,2.15,0.045,31,24,24,26.3,584.4444444
elevated,C,CAL,4W,2,40,4.3,2.15,0.045,32,31,24,29,644.4444444
elevated,C,CAL,4W,4,40,4.3,2.15,0.045,25,21,18,21.3,473.3333333
ambient,D,CAL,2W,1,40,4.3,2.15,0.045,19,11,15,15,333.3333333
ambient,D,CAL,2W,2,40,4.3,2.15,0.045,20,26,21,22.3,495.5555556
ambient,D,CAL,2W,3,40,4.3,2.15,0.045,22,22,18,20.7,460
ambient,D,CAL,2W,4,40,4.3,2.15,0.045,16,15,17,16,355.5555556
ambient,D,CAL,3W,1,40,4.3,2.15,0.045,18,18,21,19,422.2222222
ambient,D,CAL,3W,2,40,4.3,2.15,0.045,21,15,19,18.3,406.6666667
ambient,D,CAL,3W,3,40,4.3,2.15,0.045,20,26,23,23,511.1111111
ambient,D,CAL,3W,4,40,4.3,2.15,0.045,17,19,15,17,377.7777778
ambient,E,CAL,1W,1,40,4.3,2.15,0.045,39,18,22,26.3,584.4444444
ambient,E,CAL,1W,2,40,4.3,2.15,0.045,17,20,20,19,422.2222222
ambient,E,CAL,1W,3,40,4.3,2.15,0.045,14,27,19,20,444.4444444
ambient,E,CAL,1W,4,40,4.3,2.15,0.045,19,27,22,22.7,504.4444444
ambient,E,CAL,5W,1,40,4.3,2.15,0.045,32,24,21,25.7,571.1111111
ambient,E,CAL,5W,2,40,4.3,2.15,0.045,27,23,24,24.7,548.8888889
ambient,E,CAL,5W,3,40,4.3,2.15,0.045,20,20,22,20.7,460
ambient,E,CAL,5W,4,40,4.3,2.15,0.045,28,23,23,24.7,548.8888889
ambient,F,CAL,2W,1,40,4.3,2.15,0.045,20,23,30,24.3,540
ambient,F,CAL,2W,2,40,4.3,2.15,0.045,15,18,28,20.3,451.1111111
ambient,F,CAL,2W,3,40,4.3,2.15,0.045,22,22,21,21.7,482.2222222
ambient,F,CAL,2W,4,40,4.3,2.15,0.045,25,23,26,24.7,548.8888889
elevated,B,DPE,3D,1,20,8.7,4.35,0.09,101,113,106,106.7,1185.555556
elevated,B,DPE,3D,2,20,8.7,4.35,0.09,83,82,73,79.3,881.1111111
elevated,B,DPE,3D,3,20,8.7,4.35,0.09,81,70,54,68.3,758.8888889
elevated,B,DPE,3D,4,20,8.7,4.35,0.09,74,87,86,82.3,914.4444444
elevated,A,DPE,3W,1,20,8.7,4.35,0.09,110,109,98,105.7,1174.444444
elevated,A,DPE,3W,2,20,8.7,4.35,0.09,77,98,80,85,944.4444444
elevated,A,DPE,3W,3,20,8.7,4.35,0.09,84,90,76,83.3,925.5555556
elevated,A,DPE,1W,1,20,8.7,4.35,0.09,61,77,76,71.3,792.2222222
elevated,A,DPE,1W,2,20,8.7,4.35,0.09,59,65,67,63.7,707.7777778
elevated,A,DPE,1W,3,20,8.7,4.35,0.09,80,64,74,72.7,807.7777778
elevated,A,DPE,1W,4,20,8.7,4.35,0.09,87,87,66,80,888.8888889
elevated,A,DPE,3W,1,20,8.7,4.35,0.09,64,77,61,67.3,747.7777778
ambient,F,DPE,3D,1,20,8.7,4.35,0.09,29,33,41,34.3,381.1111111
ambient,F,DPE,3D,2,20,8.7,4.35,0.09,36,50,61,49,544.4444444
ambient,F,DPE,3D,3,20,8.7,4.35,0.09,49,44,46,46.3,514.4444444
ambient,F,DPE,3D,4,20,8.7,4.35,0.09,32,32,37,33.7,374.4444444
ambient,F,DPE,3W,1,20,8.7,4.35,0.09,44,65,63,57.3,636.6666667
ambient,F,DPE,3W,2,20,8.7,4.35,0.09,60,62,79,67,744.4444444
ambient,F,DPE,3W,3,20,8.7,4.35,0.09,77,77,87,80.3,892.2222222
ambient,F,DPE,3W,4,20,8.7,4.35,0.09,82,81,82,81.7,907.7777778
ambient,D,DPE,3W,1,20,8.7,4.35,0.09,63,53,62,59.3,658.8888889
ambient,D,DPE,3W,2,20,8.7,4.35,0.09,49,64,66,59.7,663.3333333
ambient,D,DPE,3W,3,20,8.7,4.35,0.09,51,35,,43,477.7777778
ambient,D,DPE,3W,4,20,8.7,4.35,0.09,64,66,57,62.3,692.2222222
ambient,E,DPE,2W,1,20,8.7,4.35,0.09,60,56,64,60,666.6666667
ambient,E,DPE,2W,2,20,8.7,4.35,0.09,65,62,63,63.3,703.3333333
ambient,E,DPE,2W,3,20,8.7,4.35,0.09,78,85,67,76.7,852.2222222
ambient,E,DPE,2W,4,20,8.7,4.35,0.09,40,56,42,46,511.1111111
ambient,E,DPE,1W,1,20,8.7,4.35,0.09,69,57,65,63.7,707.7777778
ambient,E,DPE,1W,2,20,8.7,4.35,0.09,61,74,45,60,666.6666667
ambient,E,DPE,1W,3,20,8.7,4.35,0.09,57,54,51,54,600
ambient,D,DPE,1W,1,20,8.7,4.35,0.09,63,50,56,56.3,625.5555556
ambient,D,DPE,1W,2,20,8.7,4.35,0.09,50,63,78,63.7,707.7777778
ambient,D,DPE,1W,3,20,8.7,4.35,0.09,126,122,102,116.7,1296.666667
ambient,D,DPE,1W,4,20,8.7,4.35,0.09,112,121,142,125,1388.888889
elevated,C,DPE,1W,1,20,8.7,4.35,0.09,83,75,68,75.3,836.6666667
elevated,C,DPE,1W,2,20,8.7,4.35,0.09,64,63,91,72.7,807.7777778
elevated,C,DPE,1W,3,20,8.7,4.35,0.09,39,61,79,59.7,663.3333333
elevated,C,DPE,2D,1,20,8.7,4.35,0.09,26,39,43,36,400
elevated,C,DPE,2D,2,20,8.7,4.35,0.09,38,37,31,35.3,392.2222222
elevated,C,DPE,2D,3,20,8.7,4.35,0.09,73,77,73,74.3,825.5555556
elevated,C,DPE,2D,4,20,8.7,4.35,0.09,106,107,106,106.3,1181.111111
elevated,B,DPE,4W,1,20,8.7,4.35,0.09,66,56,59,60.3,670
elevated,B,DPE,4W,2,20,8.7,4.35,0.09,77,95,106,92.7,1030
elevated,B,DPE,4W,3,20,8.7,4.35,0.09,86,88,89,87.7,974.4444444
elevated,B,DPE,4W,4,20,8.7,4.35,0.09,82,91,87,86.7,963.3333333
elevated,A,ROF,2W,1,100,1.7,0.85,0.018,6,7,5,6,333.3333333
elevated,A,ROF,2W,2,100,1.7,0.85,0.018,6,,,6,333.3333333
elevated,A,ROF,2W,3,100,1.7,0.85,0.018,7,9,,8,444.4444444
elevated,A,ROF,2W,4,100,1.7,0.85,0.018,9,8,,8.5,472.2222222
elevated,A,ROF,2W,5,100,1.7,0.85,0.018,8,,,8,444.4444444
elevated,A,ROF,2W,6,100,1.7,0.85,0.018,7,7,,7,388.8888889
elevated,A,ROF,3W,3,100,1.7,0.85,0.018,12,,,12,666.6666667
elevated,A,ROF,5W,1,100,1.7,0.85,0.018,8,10,8,8.7,483.3333333
elevated,A,ROF,5W,2,100,1.7,0.85,0.018,9,9,8,8.7,483.3333333
elevated,A,ROF,5W,3,100,1.7,0.85,0.018,10,,,10,555.5555556
elevated,A,ROF,5W,4,100,1.7,0.85,0.018,11,9,11,10.3,572.2222222
elevated,B,ROF,2W,1,100,1.7,0.85,0.018,15,11,10,12,666.6666667
elevated,B,ROF,1W,1,100,1.7,0.85,0.018,9,9,10,9.3,516.6666667
elevated,B,ROF,1W,2,100,1.7,0.85,0.018,12,11,10,11,611.1111111
ambient,D,ROF,1W,1,100,1.7,0.85,0.018,9,8,10,9,500
ambient,D,ROF,1W,7,100,1.7,0.85,0.018,9,8,9,8.7,483.3333333
ambient,D,ROF,3W,1,100,1.7,0.85,0.018,12,15,13,13.3,738.8888889
ambient,E,ROF,2W,2,100,1.7,0.85,0.018,10,12,8,10,555.5555556
ambient,E,ROF,2W,3,100,1.7,0.85,0.018,10,7,10,9,500
ambient,E,ROF,2W,4,100,1.7,0.85,0.018,11,,,11,611.1111111
elevated,A,LST,2D,1,100,1.7,0.85,0.018,6,5,7,6,333.3333333
elevated,A,LST,2D,2,100,1.7,0.85,0.018,5,4,6,5,277.7777778
elevated,A,LST,2D,3,100,1.7,0.85,0.018,6,5,5,5.3,294.4444444
elevated,A,LST,2D,4,100,1.7,0.85,0.018,5,6,6,5.7,316.6666667
elevated,A,LST,1D,1,100,1.7,0.85,0.018,4,8,5,5.7,316.6666667
elevated,A,LST,1D,2,100,1.7,0.85,0.018,10,9,7,8.7,483.3333333
elevated,C,LST,1W,1,100,1.7,0.85,0.018,6,6,7,6.3,350
ambient,D,LST,1W,1,100,1.7,0.85,0.018,8,9,9,8.7,483.3333333
ambient,D,LST,1W,2,100,1.7,0.85,0.018,8,8,9,8.3,461.1111111
ambient,D,LST,1W,3,100,1.7,0.85,0.018,9,7,8,8,444.4444444
ambient,D,LST,1W,4,100,1.7,0.85,0.018,8,4,7,6.3,350
ambient,D,LST,2W,1,100,1.7,0.85,0.018,7,4,6,5.7,316.6666667
ambient,D,LST,2W,2,100,1.7,0.85,0.018,8,9,5,7.3,405.5555556
ambient,D,LST,2W,3,100,1.7,0.85,0.018,7,7,6,6.7,372.2222222
ambient,D,LST,2W,4,100,1.7,0.85,0.018,8,3,6,5.7,316.6666667
ambient,E,LST,1W,1,100,1.7,0.85,0.018,3,4,3,3.3,183.3333333
ambient,E,LST,1W,2,100,1.7,0.85,0.018,9,8,5,7.3,405.5555556
ambient,E,LST,1W,3,100,1.7,0.85,0.018,7,8,7,7.3,405.5555556
ambient,E,LST,1W,4,100,1.7,0.85,0.018,8,7,7,7.3,405.5555556
