greenhouse,species,plant_no,plant,date,drought_phase,phase_day,total_day,co2,resprouter,length_main_root_cm,diameter_top_mainroot_mm,fresh_weight_soil_bucketplus2.12kg,fresh_weight_allpotsoil_g,estim_dryweight_allpot_g,pot_bulk_density_g/cm3,soil_freshweight_1liter,soil_dryweight_1liter,grav_swc_perc,grav_swc (g/g),bulk_density_ (g/cm3) ,vol_swc_perc,vol_swc(cm3/cm3),ysoil_bc(kpa),total_leaves_dryweight_bag,total_stem_dryweight_bag,main_roots_dryweight_bag,fine_roots_dryweight_bag,observations..a...or.2.circled.next.to.the.number.means.2.bags..M.means.brown.bag..maron...N.new.bag.larger,"normal:2.975,2x normal.white.bag:5.950g,N.white.bag.new.larger:7.051.g.M.brown.bag.large:20.546g",bag_weight_leaves,bag_weight_stem,bag_weight_mainroots,bag_weight_fineroots,leaves_biomass,stems_biomass,main_roots_biomass,fine_roots_biomass,total_aboveground_biomass,total_belowground_biomass,root_shoot_ratio
A,ACY,1W,AACY1W,10/4/20,3,14,79,elevated,R+,73,11.07,7.2,5080,4610.251,0.461,827,757,9.247027741,0.092470277,0.757,7,0.07,-1058.454742,22.59,72.274,21.439,11.283,,,2.975,2.975,2.975,2.975,19.615,69.299,18.464,8.308,88.914,26.772,0.301099939
A,ACY,2W,AACY2W,10/4/20,3,14,79,elevated,R+,84,10.06,8,5880,5644.8,0.564,884,850,4,0.04,0.85,3.4,0.034,-11596.3065,8.654,42.872,17.21,6.072,,,2.975,2.975,2.975,2.975,5.679,39.897,14.235,3.097,45.576,17.332,0.380287871
A,ACY,3W,AACY3W,10/4/20,3,14,79,elevated,R+,67,12.73,6.9,4780,3763.844,0.376,713,588,21.2585034,0.212585034,0.588,12.5,0.125,-154.8515663,40.287,107,34.422,19.624,,M stems,2.975,20.546,2.975,2.975,37.312,86.454,31.447,16.649,123.766,48.096,0.388604302
A,ACY,4W,AACY4W,10/4/20,3,14,79,elevated,R+,81.5,17.49,7.7,5580,4991.877,0.499,860,778,10.53984576,0.105398458,0.778,8.2,0.082,-626.4398474,10.391,170.381,42.491,7.862,,M 2 bags stems,2.975,41.092,2.975,2.975,7.416,129.289,39.516,4.887,136.705,44.403,0.324808895
A,ACY,2D,AACY2D,10/4/20,3,14,79,elevated,R+,74,11.16,7.6,5480,5048.989,0.505,960,890,7.865168539,0.078651685,0.89,7,0.07,-1058.454742,12.632,52.576,14.677,7.587,,,2.975,2.975,2.975,2.975,9.657,49.601,11.702,4.612,59.258,16.314,0.2753046
A,CAL,1W,ACAL1W,11/4/20,3,15,80,elevated,R-,60,11.04,7.4,5280,4911.004,0.491,842,787,6.988564168,0.069885642,0.787,5.5,0.055,-2354.34433,28.752,38.11,15.353,10.932,fine roots N,,2.975,2.975,2.975,7.051,25.777,35.135,12.378,3.881,60.912,16.259,0.266926057
A,CAL,2W,ACAL2W,11/4/20,3,15,80,elevated,R-,76,9.32,7.4,5280,4951.823,0.495,769,724,6.215469613,0.062154696,0.724,4.5,0.045,-4579.02287,40.768,57.049,15.255,10.977,fine roots N,,2.975,2.975,2.975,7.051,37.793,54.074,12.28,3.926,91.867,16.206,0.176407197
A,CAL,3W,ACAL3W,11/4/20,3,15,80,elevated,R-,60,7.25,7.8,5680,5422.766,0.542,854,817,4.52876377,0.045287638,0.817,3.7,0.037,-8761.603195,17.663,19.038,10.006,9.988,,,2.975,2.975,2.975,2.975,14.688,16.063,7.031,7.013,30.751,14.044,0.456700595
A,CAL,4W,ACAL4W,11/4/20,3,15,80,elevated,R-,60,12.38,7.4,5280,4873.846,0.487,812,754,7.692307692,0.076923077,0.754,5.8,0.058,-1974.278868,43.359,60.397,20.465,11.386,fine roots N,2 bags stems,2.975,41.092,2.975,7.051,40.384,19.305,17.49,4.335,59.689,21.825,0.365645261
A,CAL,5W,ACAL5W,11/4/20,3,15,80,elevated,R-,60,9.6,7.6,5480,5251.409,0.525,924,887,4.171364149,0.041713641,0.887,3.7,0.037,-8761.603195,26.668,32.965,14.773,10.224,fine roots N,,2.975,2.975,2.975,7.051,23.693,29.99,11.798,3.173,53.683,14.971,0.278877857
