"greenhouse","species","plant_no","date","drought_phase","phase_day","total_day","start_pot_weight_kg","water.added.l","result_pot_weight_kg","water_lost_kg","days_since_water","water_lost_per_day_kg","start_swc_estimate","result_swc_estimate","plant","resprouter","co2","swc_diff","start_swc_standardized","result_swc_standardized","transpiration_g_day"
"A","ACY","1W",2020-01-29,"1",3,7,8.7,0.3,9,-0.300000000000001,1,-0.3,55.0847457627119,61.4406779661017,"AACY1W","R+","elevated",9.8207688691695,45.2639768935424,51.6199090969322,300
"A","ACY","1W",2020-04-10,"3",14,79,6.9,0.1,7,-0.0999999999999996,1,-0.1,16.9491525423729,19.0677966101695,"AACY1W","R+","elevated",9.8207688691695,7.1283836732034,9.247027741,100
"A","ACY","1W",2020-04-09,"3",13,78,6.9,0.1,7,-0.0999999999999996,1,-0.1,16.9491525423729,19.0677966101695,"AACY1W","R+","elevated",9.8207688691695,7.1283836732034,9.247027741,100
"A","ACY","1W",2020-01-30,"1",4,8,9,0,9,0,1,0,61.4406779661017,61.4406779661017,"AACY1W","R+","elevated",9.8207688691695,51.6199090969322,51.6199090969322,0
"A","ACY","1W",2020-01-31,"1",5,9,8.5,0.5,9,-0.5,1,-0.5,50.8474576271187,61.4406779661017,"AACY1W","R+","elevated",9.8207688691695,41.0266887579492,51.6199090969322,500
"A","ACY","1W",2020-03-03,"2",9,41,7.9,0.1,8,-0.0999999999999996,1,-0.1,38.135593220339,40.2542372881356,"AACY1W","R+","elevated",9.8207688691695,28.3148243511695,30.4334684189661,100
"A","ACY","1W",2020-03-04,"2",10,42,7.8,0.2,8,-0.2,1,-0.2,36.0169491525424,40.2542372881356,"AACY1W","R+","elevated",9.8207688691695,26.1961802833729,30.4334684189661,200
"A","ACY","1W",2020-02-04,"1",9,13,8.6,0.4,9,-0.4,1,-0.4,52.9661016949153,61.4406779661017,"AACY1W","R+","elevated",9.8207688691695,43.1453328257458,51.6199090969322,400
"A","ACY","1W",2020-02-05,"1",10,14,8.8,0.2,9,-0.199999999999999,1,-0.2,57.2033898305085,61.4406779661017,"AACY1W","R+","elevated",9.8207688691695,47.382620961339,51.6199090969322,200
"A","ACY","1W",2020-01-27,"1",1,5,7.9,1,8.9,-1.1,3,-0.37,38.135593220339,59.3220338983051,"AACY1W","R+","elevated",9.8207688691695,28.3148243511695,49.5012650291356,370
"A","ACY","1W",2020-01-28,"1",2,6,8.6,0.4,9,-0.300000000000001,1,-0.3,52.9661016949153,61.4406779661017,"AACY1W","R+","elevated",9.8207688691695,43.1453328257458,51.6199090969322,300
"A","ACY","1W",2020-04-01,"3",5,70,6.7,0.3,7,-0.3,4,-0.07,12.7118644067797,19.0677966101695,"AACY1W","R+","elevated",9.8207688691695,2.89109553761018,9.247027741,70
"A","ACY","1W",2020-04-03,"3",7,72,6.9,0.3,7.2,-0.0999999999999996,2,-0.05,16.9491525423729,23.3050847457627,"AACY1W","R+","elevated",9.8207688691695,7.1283836732034,13.4843158765932,50
"A","ACY","1W",2020-04-06,"3",10,75,6.9,0.1,7,-0.3,3,-0.1,16.9491525423729,19.0677966101695,"AACY1W","R+","elevated",9.8207688691695,7.1283836732034,9.247027741,100
"A","ACY","1W",2020-04-08,"3",12,77,6.9,0.1,7,-0.0999999999999996,2,-0.05,16.9491525423729,19.0677966101695,"AACY1W","R+","elevated",9.8207688691695,7.1283836732034,9.247027741,50
"A","ACY","1W",2020-02-03,"1",8,12,8,1,9,-1,3,-0.33,40.2542372881356,61.4406779661017,"AACY1W","R+","elevated",9.8207688691695,30.4334684189661,51.6199090969322,330
"A","ACY","1W",2020-02-27,"2",4,36,7.6,0.4,8,-0.4,1,-0.4,31.7796610169492,40.2542372881356,"AACY1W","R+","elevated",9.8207688691695,21.9588921477797,30.4334684189661,400
